Site,Elevation (m),Elevation (ft),Habitat,Morph,PlantNo.,No.Fruits,Fruits counted,Flowers,totSeeds,looseSeeds,avgS/F,"Notes (from Jake,NMS)",S/F.1,S/F.2,S/F.3,S/F.4,S/F.5,S/F.6,S/F.7,S/F.8,S/F.9,S/F.10,S/F.11,S/F.12,S/F.13,S/F.14,S/F.15,S/F.16,
Penn Mountain,3550,"11,646",Krummholz,Skunky,S54,10,10,16,47,,4.70,TR FLAT,8,5,4,3,3,3,3,6,6,6,,,,,,,
Penn Mountain,3550,"11,646",Krummholz,Skunky,S59,0,1,2,0,,0.00,TR FLAT,0,,,,,,,,,,,,,,,,
Penn Mountain,3550,"11,646",Krummholz,Skunky,S67,6,6,14,49,,8.17,TR FLAT,11,8,9,7,6,8,,,,,,,,,,,
Penn Mountain,3550,"11,646",Krummholz,Skunky,S68,8,8,11,82,,10.25,TR FLAT,10,8,14,9,12,11,11,7,,,,,,,,,
Penn Mountain,3550,"11,646",Krummholz,Sweet,S87,5,5,11,44,,8.80,TR FLAT,5,9,11,8,11,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,B48,1,1,11,4,,4.00,,4,,,,,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,B50,0,1,13,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,B83,2,2,10,8,,4.00,,1,7,,,,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,B97,7,7,10,25,,3.57,,9,3,4,2,3,1,3,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,CC33,7,7,10,19,,2.71,,3,1,2,6,2,2,3,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,CC54,1,1,10,2,,2.00,,2,,,,,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,CC58,0,1,8,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,CC73,1,1,10,5,,5.00,,5,,,,,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Sweet,CC83,1,1,13,2,,2.00,,2,,,,,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,CC87,4,4,13,9,,2.25,,2,3,3,1,,,,,,,,,,,,,
SF PKS,3540,11625,Krummholz,Skunky,CC96,1,1,12,1,,1.00,,1,,,,,,,,,,,,,,,,
Niwot Ridge,3660,"12,000",Alpine,Sweet,NR36,1,1,16,2,,2.00,~SADDLE (low Alpine - Candi lumped with alpine in her 1987 paper),2,,,,,,,,,,,,,,,,
Niwot Ridge,3660,"12,000",Alpine,Sweet,NR38,9,9,14,51,,5.67,~SADDLE (low Alpine - Candi lumped with alpine in her 1987 paper),12,3,5,4,6,4,2,12,3,,,,,,,,
Niwot Ridge,3660,"12,000",Alpine,Sweet,NR43,2,2,21,4,,2.00,~SADDLE (low Alpine - Candi lumped with alpine in her 1987 paper),1,3,,,,,,,,,,,,,,,
Niwot Ridge,3660,"12,000",Alpine,Skunky,NR44,6,6,17,10,,1.67,~SADDLE (low Alpine - Candi lumped with alpine in her 1987 paper),2,2,3,1,1,1,,,,,,,,,,,
Niwot Ridge,3660,"12,000",Alpine,Sweet,NR45,6,6,11,39,,6.50,~SADDLE (low Alpine - Candi lumped with alpine in her 1987 paper),2,7,4,10,10,6,,,,,,,,,,,
